numero,descricao,bug,tech_debt,repo,ultima_alteracao,ideia,para_rodar,em_progresso,para_homologacao,em_homologacao,em_producao,aprendemos,cycle_time,lead_time
295,Resultados de busca não estão aparecendo,true,false,servicosgovbr/guia-de-servicos,05/18/15 14:06,05/18/15 12:43,05/18/15 12:43,05/18/15 12:43,05/18/15 12:43,05/18/15 12:43,05/18/15 12:43,05/18/15 13:45,1,1
294,Cabeçalho está maior do que deveria na página de feedback,true,false,servicosgovbr/guia-de-servicos,05/19/15 14:01,05/18/15 11:45,05/18/15 11:45,05/18/15 11:45,05/18/15 11:45,05/18/15 11:45,05/18/15 11:45,05/19/15 14:01,1,1
293,Adicionar header Content-Security-Policy,true,false,servicosgovbr/guia-de-servicos,05/18/15 14:06,05/15/15 17:35,05/15/15 17:35,05/15/15 17:35,05/15/15 17:35,05/15/15 17:35,05/15/15 17:35,05/15/15 20:34,1,1
292,Adicionar header X-Content-Type-Options,true,false,servicosgovbr/guia-de-servicos,05/18/15 14:05,05/15/15 17:34,05/15/15 17:34,05/15/15 17:34,05/15/15 17:34,05/15/15 17:34,05/15/15 17:34,05/15/15 20:34,1,1
291,Adicionar header X-XSS-Protection,true,false,servicosgovbr/guia-de-servicos,05/18/15 14:05,05/15/15 17:34,05/15/15 17:34,05/15/15 17:34,05/15/15 17:34,05/15/15 17:34,05/15/15 17:34,05/15/15 20:34,1,1
290,Adicionar header X-Frame-Options,true,false,servicosgovbr/guia-de-servicos,05/18/15 14:05,05/15/15 17:33,05/15/15 17:33,05/15/15 17:33,05/15/15 17:33,05/15/15 17:33,05/15/15 17:33,05/15/15 20:34,1,1
289,/health respondendo DOWN,false,false,servicosgovbr/guia-de-servicos,05/15/15 12:43,05/15/15 11:14,05/15/15 11:47,05/15/15 11:47,05/15/15 11:47,05/15/15 11:47,05/15/15 11:47,05/15/15 12:43,1,1
288,Traduzir o texto na página de ouvidoria,false,false,servicosgovbr/guia-de-servicos,05/15/15 11:37,05/15/15 11:09,05/15/15 11:37,05/15/15 11:37,05/15/15 11:37,05/15/15 11:37,05/15/15 11:37,05/15/15 11:37,1,1
287,"Buscar por ""acessibilidade""",true,false,servicosgovbr/guia-de-servicos,05/19/15 11:40,05/15/15 11:07,05/15/15 11:07,05/15/15 11:07,05/15/15 11:07,05/15/15 11:07,05/15/15 11:07,,1,
286,"Trocar ""Município"" por MDS",false,false,servicosgovbr/guia-de-servicos,05/20/15 15:18,05/14/15 16:03,05/14/15 16:03,05/14/15 16:03,05/14/15 16:03,05/14/15 16:03,05/14/15 16:03,05/14/15 16:07,1,1
285,Yaml inválido não quebra o build,true,false,servicosgovbr/guia-de-servicos,05/14/15 16:15,05/14/15 15:52,05/14/15 15:52,05/14/15 15:52,05/14/15 15:52,05/14/15 15:52,05/14/15 15:52,05/14/15 16:15,1,1
284,"Erro nos links ""Serviços aos cidadãos"" e ""Serviços às empresas""""",true,false,servicosgovbr/guia-de-servicos,05/14/15 14:03,05/14/15 10:38,05/14/15 10:38,05/14/15 10:38,05/14/15 10:38,05/14/15 10:38,05/14/15 10:38,05/14/15 11:37,1,1
283,Bloquear busca vazia,false,false,servicosgovbr/guia-de-servicos,05/14/15 18:19,05/13/15 16:23,05/13/15 16:23,05/13/15 16:23,05/13/15 16:23,05/13/15 16:23,05/13/15 16:23,,1,
282,"XML inválido não é importado, mas build passa",true,false,servicosgovbr/guia-de-servicos,05/14/15 14:03,05/13/15 15:21,05/13/15 15:21,05/13/15 15:21,05/13/15 15:21,05/13/15 15:21,05/13/15 15:21,05/14/15 11:29,1,1
281,Abrir um serviço no editor,false,false,servicosgovbr/guia-de-servicos,05/15/15 14:54,05/13/15 15:00,05/13/15 15:00,05/13/15 15:00,05/13/15 15:00,05/13/15 15:00,05/13/15 15:00,05/13/15 15:02,1,1
280,Testar gateway de email,false,false,servicosgovbr/guia-de-servicos,05/19/15 14:04,05/13/15 14:33,05/13/15 14:33,05/13/15 14:33,05/13/15 14:33,05/13/15 14:33,05/13/15 14:33,,1,
279,Link para feedback sendo identificado como link para podcasts,true,false,servicosgovbr/guia-de-servicos,05/13/15 16:22,05/13/15 13:39,05/13/15 13:39,05/13/15 13:39,05/13/15 13:39,05/13/15 13:39,05/13/15 13:39,05/13/15 16:22,1,1
278,Input de busca exibido incorretamente no Safari,true,false,servicosgovbr/guia-de-servicos,05/14/15 14:04,05/13/15 10:19,05/13/15 10:19,05/13/15 10:19,05/13/15 10:19,05/13/15 10:19,05/13/15 10:19,05/13/15 13:51,1,1
